STUDY_ID,LATITUDE,LONGITUDE,species_richness,total_abundance,mean_depth,n_samples,n_years,year_start,year_end,realm,biome,climate
271,34.392417,-119.5438,22,332.0,,17,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.392767,-119.540367,22,237.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.39415,-119.729367,30,342.0,,16,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.394333,-119.73,38,3633.0,,147,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.399717,-119.744817,14,142.0,,22,4,2003,2006,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.400117,-119.744383,44,2872.0,,124,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.40035,-119.744583,44,2872.0,,124,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.400433,-119.7448,21,173.0,,30,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.400467,-119.744383,21,173.0,,30,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.402733,-119.857233,26,224.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.402833,-119.857867,20,233.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.41365,-119.8218,20,210.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.413783,-119.8224,24,139.0,,13,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.421633,-119.951517,32,989.0,,19,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.421817,-119.951867,32,874.0,,20,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.421883,-119.951283,30,1253.0,,18,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.42195,-119.950633,34,1150.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.4223,-119.9519,24,317.0,,17,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.422333,-119.952933,25,852.0,,17,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.422433,-119.9517,23,720.0,,17,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.422467,-119.952317,27,731.0,,16,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.45815,-120.33355,22,179.0,,17,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.458483,-120.333483,26,151.0,,16,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.458883,-120.333433,22,159.0,,17,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.46685,-120.11735,30,537.0,,15,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.467467,-120.117183,34,517.0,,15,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.46755,-120.12085,34,388.0,,14,13,2002,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.467933,-120.119283,26,425.0,,15,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.468733,-120.120783,31,445.0,,16,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.468783,-120.121417,39,1256.5,,116,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.471767,-120.14085,31,649.0,,17,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.471867,-120.144383,22,402.0,,12,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.044434,-119.71513,26,9281.0,,23,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.05865,-119.75763,28,5358.0,,22,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.391632,-119.541693,30,55338.0,,120,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.394071,-119.72957,22,6895.0,,28,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.400275,-119.744592,9,3102.0,,28,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.402783,-119.85755,25,24759.0,,48,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.413717,-119.9221,25,9588.0,,28,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.422122,-119.95154,33,23655.8,,120,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.458505,-120.33349,28,17960.0,,50,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.46775,-120.11905,30,42332.0,,83,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
272,34.471817,-120.142617,17,6001.0,,28,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.044434,-119.71513,15,2240.0,,23,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.05865,-119.75763,12,2474.0,,23,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.391632,-119.541693,23,7626.0,,121,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.394071,-119.72957,17,1473.0,,28,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.400275,-119.744592,10,124.0,,21,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.402783,-119.85755,16,1532.0,,42,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.413717,-119.9221,16,486.0,,28,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.422122,-119.95154,24,19849.0,,120,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.458505,-120.33349,14,1398.0,,50,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.46775,-120.11905,23,2869.0,,82,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
273,34.471817,-120.142617,18,772.0,,23,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.043747,-119.71442,51,0.0,,11,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.0444,-119.715133,56,0.0,,11,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.058599,-119.757718,54,0.0,,11,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.05865,-119.75763,58,0.0,,11,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.391117,-119.544133,42,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.391233,-119.541833,52,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.3914,-119.539533,46,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.391517,-119.544,50,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.391717,-119.54165,43,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.391817,-119.539317,38,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.392417,-119.5438,64,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.392767,-119.540367,48,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.39415,-119.729367,62,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.394333,-119.73,63,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.400117,-119.744383,52,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.40035,-119.744583,52,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.400433,-119.7448,38,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.400467,-119.744383,38,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.402733,-119.857233,47,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.402833,-119.857867,50,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.41365,-119.8218,54,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.413783,-119.8224,54,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.421633,-119.951517,59,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.421817,-119.951867,60,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.421883,-119.951283,66,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.42195,-119.950633,64,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.4223,-119.9519,38,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.422333,-119.952933,63,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.422433,-119.9517,62,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.422467,-119.952317,65,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.45815,-120.33355,52,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.458483,-120.333483,57,0.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.458883,-120.333433,60,0.0,,16,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.46685,-120.11735,48,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.467467,-120.117183,57,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.46755,-120.12085,42,0.0,,13,13,2002,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.467933,-120.119283,55,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.468733,-120.120783,62,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.468783,-120.121417,64,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.471767,-120.14085,58,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
274,34.471867,-120.144383,26,0.0,,14,14,2001,2014,Marine,Temperate shelf and seas ecoregions,Temperate
294,21.0833,105.1,273,29171.0,1000.0,469,11,2003,2013,Terrestrial,Tropical and subtropical moist broadleaf forests,Tropical
295,-34.598657,150.888094,21,311.0,-6.59375,3,1,2015,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-34.06999,151.15745,36,5065.0,-5.393421052631578,4,4,2009,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-34.059032,151.148344,15,661.0,-4.668181818181818,3,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
295,-34.0411,151.20152,24,2698.0,-8.15,4,1,2015,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.99745,151.23702,25,2666.0,-6.623529411764706,4,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.99564,151.23761,20,562.0,-7.576923076923077,3,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.992931,151.231843,37,6869.0,-7.893055555555555,10,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.992761,151.230399,23,1092.0,-8.662162162162161,3,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.99142,151.23078,48,6413.0,-5.261744966442953,9,8,2009,2016,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.96811,151.25522,47,3404.0,-4.699029126213592,4,2,2011,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.9165,151.2645,35,1290.0,-7.56140350877193,3,5,2010,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.915887,151.268771,33,1433.0,-5.181034482758621,3,5,2010,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.915622,151.271661,42,4739.0,-8.902597402597403,3,3,2010,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.89414,151.28281,40,6937.0,-6.420289855072464,3,3,2010,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.85966,151.25916,28,980.0,-3.7111111111111112,4,2,2009,2010,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.85772,151.25629,24,1507.0,-2.4022727272727273,3,1,2010,2010,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.849696,151.267342,39,3528.0,-4.072549019607843,6,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.84282,151.28584,40,10712.0,-9.410191082802548,11,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.841655,151.253968,48,3996.0,-3.690082644628099,7,2,2009,2010,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.840111,151.277492,66,13063.0,-4.642222222222222,10,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.839753,151.253504,53,3362.0,-3.5,5,4,2009,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.839307,151.277744,53,7441.0,-4.728828828828829,12,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.8388,151.27905,82,3780.0,-4.362897526501767,9,4,2009,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.83304,151.27898,72,10375.0,-5.560450160771704,15,6,2010,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.83036,151.26378,53,4901.0,-6.518987341772152,8,5,2010,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.82827,151.26574,73,18578.0,-6.3658940397351,15,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.8241,151.2972,30,8334.0,-9.147727272727273,6,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.8234,151.26768,78,20872.0,-6.681538461538462,18,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.8214,151.2903,45,15989.0,-8.195804195804195,9,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.81848,151.26069,48,10439.0,-5.557407407407407,7,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.81802,151.285181,108,46311.0,-7.649172185430464,24,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.81484,151.28466,50,7509.0,-2.536781609195402,3,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.81322,151.27238,58,14149.0,-7.542081447963801,11,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.80646,151.30526,56,7364.0,-8.774342105263159,8,6,2009,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.801,151.27574,48,6001.0,-4.761016949152542,5,6,2009,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.80097,151.27415,62,8947.0,-5.37808764940239,11,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.800465,151.29531,76,11646.0,-3.8334375,13,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.799608,151.293076,94,16069.0,-5.427272727272727,8,5,2010,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.799269,151.296159,91,40717.0,-5.0168,14,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-33.78066,151.29599,21,2808.0,-7.159523809523809,3,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.79163,152.11009,21,779.0,-6.245614035087719,4,5,2009,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.7901,152.09246,58,3510.0,-4.730344827586206,7,5,2009,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.789201,152.112503,43,2428.0,-5.980769230769231,11,6,2008,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.78852,152.08338,36,895.0,-5.3223529411764705,5,4,2010,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.78755,152.11426,59,3080.0,-6.822857142857143,11,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.75,152.194,34,711.0,-11.2,3,2,2012,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.74881,152.1746,60,8798.0,-9.641509433962264,9,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.74782,152.17318,33,1555.0,-4.34375,4,5,2008,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.74499,152.20364,65,3231.0,-5.884782608695652,7,5,2011,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.74057,152.19493,129,59754.0,-7.01936887921654,26,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.718401,152.133828,39,1133.0,-6.6,3,2,2012,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.71802,152.14133,113,11104.0,-7.721745562130177,27,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.71515,152.15036,88,7083.0,-9.546288209606987,17,5,2009,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.714463,152.15183,154,33634.0,-8.660136815920398,47,9,2008,2016,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.713325,152.15713,118,15181.0,-8.588504464285714,29,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.71161,152.18483,73,35103.0,-8.173818181818183,10,4,2010,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.70976,152.15925,150,37000.0,-9.985407725321888,70,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.70947,152.16129,63,2921.0,-6.55,5,3,2010,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.708828,152.227941,53,15948.0,-9.14014598540146,5,6,2010,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.708,152.225,66,18536.0,-10.69344262295082,5,4,2012,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.70475,152.22883,64,11566.0,-8.373214285714287,6,4,2009,2012,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.68916,152.22723,64,22759.0,-11.13978494623656,7,5,2010,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.68884,152.22218,127,23865.0,-7.1385321100917425,23,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.68705,152.22834,68,11068.0,-11.93121387283237,6,6,2010,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.68551,152.22244,89,4550.0,-5.22054794520548,9,4,2011,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.68479,152.22542,52,9439.0,-11.881632653061226,3,3,2011,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.6827,152.15836,46,11080.0,-4.165765765765766,6,2,2009,2010,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.6183,152.33433,66,14232.0,-11.269298245614035,11,6,2009,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.61527,152.32665,59,26207.0,-10.636363636363637,5,5,2009,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.59919,152.32061,51,8509.0,-11.4984,5,5,2009,2013,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.59917,152.32404,59,31044.0,-10.71256038647343,10,6,2009,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.03073,115.4411,57,7177.0,-12.294117647058824,8,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.02967,115.53069,57,5780.0,-8.130092592592591,12,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.02575,115.52968,86,6152.0,-2.844294003868472,23,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.02567,115.58404,76,14000.0,-10.295581395348838,21,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.02498,115.54514,74,19284.0,-9.825764192139738,22,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.02472,115.50535,74,9794.0,-12.344135802469136,16,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.02435,115.45157,83,16334.0,-6.419753086419753,19,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.02329,115.51787,27,406.0,-7.911290322580645,4,1,2008,2008,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.02078,115.5477,42,1858.0,-5.667088607594937,11,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.01805,115.4523,58,8395.0,-4.718779342723005,16,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.01725,115.50014,89,12141.0,-5.736627906976744,27,7,2008,2014,Marine,Temperate shelf and seas ecoregions,Temperate
295,-32.01552,115.55708,84,21250.0,-5.994260869565217,23,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-31.99976,115.46846,60,5492.0,-11.267708333333333,7,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-31.9902,115.5047,100,21672.0,-6.185185185185185,23,6,2010,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-31.98926,115.51746,73,8640.0,-4.914532871972318,14,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-31.9891,115.5159,52,3409.0,-5.023728813559322,8,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-31.9885,115.54114,72,6636.0,-5.124705882352941,16,6,2010,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-31.98618,115.557,78,6842.0,-6.075062972292192,16,6,2010,2015,Marine,Temperate shelf and seas ecoregions,Temperate
295,-31.97427,115.53757,88,23902.0,-10.652597402597403,27,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
296,-34.598657,150.888094,11,341.0,-6.617647058823529,3,1,2015,2015,Marine,Temperate shelf and seas ecoregions,Temperate
296,-34.06999,151.15745,22,666.0,-5.281578947368421,4,4,2009,2012,Marine,Temperate shelf and seas ecoregions,Temperate
296,-34.059032,151.148344,8,434.0,-4.578571428571428,3,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
296,-34.0411,151.20152,9,942.0,-8.15,4,1,2015,2015,Marine,Temperate shelf and seas ecoregions,Temperate
296,-33.99745,151.23702,18,874.0,-6.855882352941176,4,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
296,-33.99564,151.23761,16,201.0,-7.65,3,1,2009,2009,Marine,Temperate shelf and seas ecoregions,Temperate
296,-33.992931,151.231843,29,2175.0,-8.258571428571429,10,8,2008,2015,Marine,Temperate shelf and seas ecoregions,Temperate
296,-33.992761,151.230399,22,572.0,-8.859375,3,7,2009,2015,Marine,Temperate shelf and seas ecoregions,Temperate
